State,Total_Voting_Age_Pop:,<_9th_grade,9th_to_12th_grade_no diploma,High_school_graduate_(includes_equivalency),Some_college_no_degree,Associates_degree,Bachelors_degree,Graduate_or_professional_degree
Alabama,3709180,119053,343899,1147041,895821,311374,568239,323753
Alaska,532553,10175,28527,160191,146347,43664,90188,53461
Arizona,5049926,149470,350995,1267163,1393794,446298,919832,522374
Arkansas,2219479,76332,182091,760623,546327,163883,323015,167208
California,25774911,1168768,1627297,5618642,6568332,2147272,5564386,3080214
Colorado,4153976,78715,199820,924611,974948,343182,1047064,585636
Connecticut,2615815,69982,135979,699934,527674,197933,568458,415855
Delaware,723159,15250,46917,230187,156671,56560,131194,86380
District of Columbia,528025,10559,25514,96585,86685,14823,134618,159241
Florida,15296734,487771,1087687,4350476,3377528,1576855,2831307,1585110
Georgia,7482329,210511,607772,2136834,1736898,580711,1390210,819393
Hawaii,1020517,25078,38938,292321,233163,107705,213367,109945
Idaho,1255411,22993,75725,352025,351668,119392,229015,104593
Illinois,9064396,253291,536350,2365646,2124671,746473,1912499,1125466
Indiana,4933505,137972,373575,1662691,1119794,413445,807201,418827
Iowa,2331653,47067,114844,716149,554319,269328,438153,191793
Kansas,2097052,42497,112556,558169,540619,184852,429929,228430
Kentucky,3362354,143350,269333,1118657,781598,276071,470644,302701
Louisiana,3467869,135236,343176,1165962,815785,212918,522236,272556
Maine,1070612,21584,53411,338704,228070,103411,208566,116866
Maryland,4313168,95951,243479,1088750,933807,292049,917052,742080
Massachusetts,5030986,143283,248149,1216478,955814,373886,1218369,875007
Michigan,7528995,160082,490140,2202489,1935465,694882,1293336,752601
Minnesota,4113452,77559,180619,1023484,953428,465523,956614,456225
Mississippi,2238133,88719,230116,675878,552962,227451,288835,174172
Missouri,4630115,114046,318764,1437249,1124598,365579,808200,461679
Montana,823797,13258,41070,238562,207362,73418,170390,79737
Nebraska,1373561,28658,63770,364478,355829,142544,283768,134514
Nevada,2071272,56484,149307,609452,571684,176956,334046,173343
New Hampshire,1065299,18920,52337,299426,220155,105235,233241,135985
New Jersey,6156380,180808,314631,1664233,1195446,420865,1506685,873712
New Mexico,1511406,53028,122267,413521,394103,132366,228399,167722
New York,13764741,545713,896619,3509726,2590914,1243103,2887310,2091356
North Carolina,7636496,205462,563254,2022457,1839944,739121,1485761,780497
North Dakota,564942,12522,25824,150452,142692,75543,117789,40120
Ohio,8855290,206774,621153,2950829,2003308,735685,1500127,837414
Oklahoma,2855801,71523,227323,910501,725029,230961,463500,226964
Oregon,3108030,59269,174828,741963,854752,277727,636587,362904
Pennsylvania,9778957,245688,618511,3385142,1795328,807539,1831174,1095575
Rhode Island,795022,25697,47463,226062,173246,63500,161443,97611
South Carolina,3849680,108031,317647,1135883,894118,361756,662898,369347
South Dakota,644867,14479,37176,195275,150450,72040,122872,52575
Tennessee,5082240,164342,389649,1649910,1177283,373635,862585,464836
Texas,18578831,754835,1363009,4898623,4736135,1421953,3614472,1789804
Utah,2082893,27290,103023,501394,601877,207410,434806,207093
Vermont,497391,8272,24534,144889,100345,40559,109354,69438
Virginia,6198540,162515,360290,1557959,1370808,479083,1329203,938682
Washington,5344645,102820,277608,1245937,1357377,551153,1169282,640468
West Virginia,1428525,52783,122681,569851,297017,103973,174049,108171
Wisconsin,4392490,82841,228204,1348429,1017117,462317,849384,404198
Wyoming,435357,5652,22982,127364,118194,48551,71643,40971
